,Product_1,Product_2,Product_3,Product_4,Product_5
48102821,56885678,52333193,22413470,56365197,70772235
52333193,48273751,72928043,26348659,35373097,52889826
299461,203734,54665,76781356,389145,299431
57440329,15595231,72801647,11239836,54680052,24408779
38458616,41195639,55049362,12567795,23459272,46623654
12567795,7347125,55049362,38458616,23459272,46623654
4897521,855600,1011522,25770121,14785024,643138
47321729,49337807,65395332,41318362,46841782,48493605
2638665,855600,31602057,19408798,591960,23368835
25078249,8159079,691576,389145,54665,4312979
389145,299461,299431,203734,54665,74267277
180912,122012,588800,72746857,11241055,208248
7820533,44231732,15079790,23852057,59322576,65395332
1600005,642154,31602057,59418162,74141526,7320225
356188,55897,916764,233129,554912,11921226
8141868,43017581,7589409,51668230,51668332,25062191
71523843,78010530,65395332,53447698,72290186,57524517
51593115,81926706,57447641,67709566,56799815,53978256
855018,126000,125781,126003,680611,855600
58215473,16860936,58291928,14868418,76309587,58298489
19419738,59302735,11676550,46156090,15129417,54710061
51884751,32586832,54383925,68793627,59322576,59084364
8159799,13918145,24989957,38151960,1714729,8023300
35373097,48273751,52333193,72928043,52889826,26348659
79857302,35723184,79952488,80133022,56365197,79887552
49105034,74989061,11239836,54385590,72801647,4125015
73821826,62269749,44012841,70661051,62263771,44611291
54017350,3220163,11477102,28252100,1059170,1324787
916784,233129,55897,691576,4312979,916764
21017060,52333193,50319688,35723184,62715859,34414903
35723184,34414903,50319688,21017060,56365197,62715859
1714729,13918145,38151960,38144690,8159799,8023300
76480235,77348600,53978256,55457074,67709566,77162112
68088752,68025746,45070823,71896003,71907010,71893707
75643830,47499193,8122699,13151476,13151574,8122678
11477102,3220163,255023,1324787,1059170,74246209
62445418,22336000,58624734,24852048,35726089,29572815
50253867,25696258,16766952,26029929,14313154,53631890
68025746,7817447,71893707,68088752,71892315,68100167
1517005,586849,1500863,461038,1516999,1457747
52087768,74274442,51030375,51343843,28912009,34790708
53611551,75643830,56597141,47499193,8122678,8122699
17629257,32399542,46037816,53547999,17629146,53547831
67709566,55457074,51593115,56799815,57447641,53978256
48483174,23291354,71075716,8141868,80850379,25062191
855600,7320225,126003,125781,680611,855018
65395332,45123323,23852057,7820533,53447698,59322576
2860621,2859451,1097744,3171419,8326109,73987485
49867500,70772235,26093257,58010310,52333193,53297644
487511,10791582,487524,56922762,487532,64354130
50082914,233129,2462825,56196502,4312259,554912
646020,11522917,1044890,588800,11241055,361277
50237107,7739073,6919753,50711490,4331913,52769271
1457747,487524,4026423,8090713,1516999,1517005
32111995,7739073,5371673,7734288,3922389,2669195
66530645,74141526,74623725,51571587,70761592,31602057
35726089,35726908,25749035,70772235,62445418,29572815
299431,74267277,203734,54665,389145,299461
23503622,6991111,25761647,66940778,75510218,75520677
46841782,44231732,48493605,60030176,47321729,41318362
8326109,2860621,73987485,1097744,50326880,3171419
51668230,7589409,19772753,49658272,8141868,51668332
74850324,25325318,75337445,36710007,56458881,71051342
34520643,32021463,40691443,4539349,25248696,24489730
56515332,49658272,25062191,80850379,1995735,14970347
10860173,29950661,13119283,56515226,22028042,7614405
52889826,48273751,72928043,52333193,26348659,35373097
17019841,74348608,45125717,4889751,59348238,59471077
65074378,13745119,2927891,7614405,56515226,74853954
22436063,10671551,5511229,1524461,17929212,25468367
20139040,51720703,19242072,1935009,75396549,14069536
2927891,71655498,65074378,7614405,56515226,13745119
46563491,26348659,56365197,22413470,72928043,52333193
